thr,sensitivity,specificity,precision,npv,accuracy,f1,brier,tp,fp,tn,fn
0.4,0.42718446601941745,0.8773333333333333,0.4888888888888889,0.8479381443298969,0.7803347280334728,0.4559585492227979,0.14716036798888504,44,46,329,59
0.41000000000000003,0.3786407766990291,0.888,0.48148148148148145,0.8387909319899244,0.7782426778242678,0.42391304347826086,0.14716036798888504,39,42,333,64
0.42000000000000004,0.3592233009708738,0.888,0.46835443037974683,0.8345864661654135,0.7740585774058577,0.4065934065934066,0.14716036798888504,37,42,333,66
0.43,0.32038834951456313,0.8906666666666667,0.44594594594594594,0.8267326732673267,0.7677824267782427,0.3728813559322034,0.14716036798888504,33,41,334,70
0.44,0.32038834951456313,0.912,0.5,0.8300970873786407,0.7845188284518828,0.3905325443786982,0.14716036798888504,33,33,342,70
0.45,0.2912621359223301,0.9253333333333333,0.5172413793103449,0.8261904761904761,0.7887029288702929,0.37267080745341613,0.14716036798888504,30,28,347,73
0.46,0.2912621359223301,0.9386666666666666,0.5660377358490566,0.8282352941176471,0.799163179916318,0.3846153846153846,0.14716036798888504,30,23,352,73
0.47000000000000003,0.2912621359223301,0.9386666666666666,0.5660377358490566,0.8282352941176471,0.799163179916318,0.3846153846153846,0.14716036798888504,30,23,352,73
0.48000000000000004,0.2815533980582524,0.944,0.58,0.8271028037383178,0.801255230125523,0.3790849673202614,0.14716036798888504,29,21,354,74
0.49,0.2621359223300971,0.9493333333333334,0.5869565217391305,0.8240740740740741,0.801255230125523,0.3624161073825503,0.14716036798888504,27,19,356,76
0.5,0.21359223300970873,0.9573333333333334,0.5789473684210527,0.8159090909090909,0.797071129707113,0.31205673758865243,0.14716036798888504,22,16,359,81
0.51,0.1941747572815534,0.9626666666666667,0.5882352941176471,0.8130630630630631,0.797071129707113,0.291970802919708,0.14716036798888504,20,14,361,83
0.52,0.17475728155339806,0.968,0.6,0.8102678571428571,0.797071129707113,0.2706766917293233,0.14716036798888504,18,12,363,85
0.53,0.17475728155339806,0.9706666666666667,0.6206896551724138,0.8106904231625836,0.799163179916318,0.2727272727272727,0.14716036798888504,18,11,364,85
0.54,0.14563106796116504,0.9706666666666667,0.5769230769230769,0.8053097345132744,0.7928870292887029,0.23255813953488372,0.14716036798888504,15,11,364,88
0.55,0.14563106796116504,0.9706666666666667,0.5769230769230769,0.8053097345132744,0.7928870292887029,0.23255813953488372,0.14716036798888504,15,11,364,88
0.56,0.1262135922330097,0.976,0.5909090909090909,0.8026315789473685,0.7928870292887029,0.208,0.14716036798888504,13,9,366,90
0.5700000000000001,0.0970873786407767,0.976,0.5263157894736842,0.7973856209150327,0.7866108786610879,0.1639344262295082,0.14716036798888504,10,9,366,93
0.5800000000000001,0.08737864077669903,0.976,0.5,0.7956521739130434,0.7845188284518828,0.1487603305785124,0.14716036798888504,9,9,366,94
0.59,0.08737864077669903,0.9786666666666667,0.5294117647058824,0.7960954446854663,0.7866108786610879,0.15000000000000002,0.14716036798888504,9,8,367,94
0.6,0.07766990291262135,0.9786666666666667,0.5,0.7943722943722944,0.7845188284518828,0.13445378151260504,0.14716036798888504,8,8,367,95
0.61,0.06796116504854369,0.9786666666666667,0.4666666666666667,0.7926565874730022,0.7824267782426778,0.11864406779661017,0.14716036798888504,7,8,367,96
0.62,0.06796116504854369,0.9786666666666667,0.4666666666666667,0.7926565874730022,0.7824267782426778,0.11864406779661017,0.14716036798888504,7,8,367,96
0.63,0.05825242718446602,0.9813333333333333,0.46153846153846156,0.7913978494623656,0.7824267782426778,0.10344827586206898,0.14716036798888504,6,7,368,97
0.64,0.05825242718446602,0.984,0.5,0.7918454935622318,0.7845188284518828,0.10434782608695653,0.14716036798888504,6,6,369,97
0.65,0.05825242718446602,0.984,0.5,0.7918454935622318,0.7845188284518828,0.10434782608695653,0.14716036798888504,6,6,369,97
0.66,0.05825242718446602,0.9866666666666667,0.5454545454545454,0.7922912205567452,0.7866108786610879,0.10526315789473685,0.14716036798888504,6,5,370,97
0.67,0.04854368932038835,0.9893333333333333,0.5555555555555556,0.7910447761194029,0.7866108786610879,0.08928571428571429,0.14716036798888504,5,4,371,98
0.68,0.038834951456310676,0.9893333333333333,0.5,0.7893617021276595,0.7845188284518828,0.07207207207207207,0.14716036798888504,4,4,371,99
0.6900000000000001,0.038834951456310676,0.9893333333333333,0.5,0.7893617021276595,0.7845188284518828,0.07207207207207207,0.14716036798888504,4,4,371,99
0.7000000000000001,0.038834951456310676,0.9893333333333333,0.5,0.7893617021276595,0.7845188284518828,0.07207207207207207,0.14716036798888504,4,4,371,99
0.7100000000000001,0.038834951456310676,0.9893333333333333,0.5,0.7893617021276595,0.7845188284518828,0.07207207207207207,0.14716036798888504,4,4,371,99
0.72,0.02912621359223301,0.992,0.5,0.788135593220339,0.7845188284518828,0.05504587155963303,0.14716036798888504,3,3,372,100
0.73,0.02912621359223301,0.9946666666666667,0.6,0.7885835095137421,0.7866108786610879,0.05555555555555556,0.14716036798888504,3,2,373,100
0.74,0.02912621359223301,0.9946666666666667,0.6,0.7885835095137421,0.7866108786610879,0.05555555555555556,0.14716036798888504,3,2,373,100
0.75,0.02912621359223301,0.9946666666666667,0.6,0.7885835095137421,0.7866108786610879,0.05555555555555556,0.14716036798888504,3,2,373,100
0.76,0.02912621359223301,0.9946666666666667,0.6,0.7885835095137421,0.7866108786610879,0.05555555555555556,0.14716036798888504,3,2,373,100
0.77,0.02912621359223301,0.9946666666666667,0.6,0.7885835095137421,0.7866108786610879,0.05555555555555556,0.14716036798888504,3,2,373,100
0.78,0.019417475728155338,0.9946666666666667,0.5,0.7869198312236287,0.7845188284518828,0.037383177570093455,0.14716036798888504,2,2,373,101
0.79,0.0,1.0,0.0,0.7845188284518828,0.7845188284518828,0.0,0.14716036798888504,0,0,375,103
0.8,0.0,1.0,0.0,0.7845188284518828,0.7845188284518828,0.0,0.14716036798888504,0,0,375,103
0.81,0.0,1.0,0.0,0.7845188284518828,0.7845188284518828,0.0,0.14716036798888504,0,0,375,103
0.8200000000000001,0.0,1.0,0.0,0.7845188284518828,0.7845188284518828,0.0,0.14716036798888504,0,0,375,103
0.8300000000000001,0.0,1.0,0.0,0.7845188284518828,0.7845188284518828,0.0,0.14716036798888504,0,0,375,103
0.8400000000000001,0.0,1.0,0.0,0.7845188284518828,0.7845188284518828,0.0,0.14716036798888504,0,0,375,103
0.85,0.0,1.0,0.0,0.7845188284518828,0.7845188284518828,0.0,0.14716036798888504,0,0,375,103
0.86,0.0,1.0,0.0,0.7845188284518828,0.7845188284518828,0.0,0.14716036798888504,0,0,375,103
0.87,0.0,1.0,0.0,0.7845188284518828,0.7845188284518828,0.0,0.14716036798888504,0,0,375,103
0.88,0.0,1.0,0.0,0.7845188284518828,0.7845188284518828,0.0,0.14716036798888504,0,0,375,103
